#(V05.02.04C) EGD Point List Report for PTT_1609256_59_T1,,,,,,,,,,,,,,,,,,
Entry No,Variable,Point Name,Point Offset,Direction,Data Type,CIMPLICITY Resource,Units,Producer ID,Period(ms),Exchange Name,Destination,Description,Alias,Second Language Description,Path,Format Specification,,
617,FAKEBOOL1,EGD.ProducedPages.FastEGD.Exchange3.Point_23,03.0003.1,ReadOnly,BOOL,,nd,1701122220,10,Exchange3,172.16.111.255,fake bool 1,,,System:PTT_1609256_59|Device:T1|EGD:|EgdPageList:ProducedPages|EgdPage:FastEGD|EgdExchange:Exchange3|EgdVariable:REGULATOR,N_D,,
618,FAKEBOOL2,EGD.ProducedPages.FastEGD.Exchange3.Point_23,03.0003.2,ReadOnly,BOOL,,nd,1701122220,10,Exchange3,172.16.111.255,fake bool 2,,,System:PTT_1609256_59|Device:T1|EGD:|EgdPageList:ProducedPages|EgdPage:FastEGD|EgdExchange:Exchange3|EgdVariable:REGULATOR,N_D,,
619,WF36DMD,EGD.ProducedPages.FastEGD.Exchange3.Point_30,03.0032.0,ReadOnly,REAL,,lb/hr,1701122220,10,Exchange3,172.16.111.255,fuel flow demand,,,System:PTT_1609256_59|Device:T1|EGD:|EgdPageList:ProducedPages|EgdPage:FastEGD|EgdExchange:Exchange3|EgdVariable:WF36DMD,PPH,,
620,NPTDROPSPD,EGD.ProducedPages.FastEGD.Exchange3.Point_31,03.0036.0,ReadOnly,REAL,,,1701122220,10,Exchange3,172.16.111.255,NPT droop speed signal,,,System:PTT_1609256_59|Device:T1|EGD:|EgdPageList:ProducedPages|EgdPage:FastEGD|EgdExchange:Exchange3|EgdVariable:NPTDROPSPD,,,
621,NPTSEL,EGD.ProducedPages.FastEGD.Exchange3.Point_36,03.0056.0,ReadOnly,REAL,,rpm,1701122220,10,Exchange3,172.16.111.255,selected power tuurbine speed,,,System:PTT_1609256_59|Device:T1|EGD:|EgdPageList:ProducedPages|EgdPage:FastEGD|EgdExchange:Exchange3|EgdVariable:NPTSEL,RPM,,
622,NPTPWRMN,EGD.ProducedPages.FastEGD.Exchange3.Point_37,03.0060.0,ReadOnly,REAL,,rpm,1701122220,10,Exchange3,172.16.111.255,Min NPT demand for power gen,,,System:PTT_1609256_59|Device:T1|EGD:|EgdPageList:ProducedPages|EgdPage:FastEGD|EgdExchange:Exchange3|EgdVariable:NPTPWRMN,RPM,,
623,T48SEL,EGD.ProducedPages.FastEGD.Exchange3.Point_34,03.0048.0,ReadOnly,REAL,,?,1701122220,10,Exchange3,172.16.111.255,Selected Value of valid T48 probes,,,System:PTT_1609256_59|Device:T1|EGD:|EgdPageList:ProducedPages|EgdPage:FastEGD|EgdExchange:Exchange3|EgdVariable:T48SEL,TC,,
624,X_NGGFLOOR,EGD.ProducedPages.FastEGD.Exchange3.Point_35,03.0052.0,ReadOnly,REAL,,RPM,1701122220,10,Exchange3,172.16.111.255,Idle speed set-point toward the Core,,,System:PTT_1609256_59|Device:T1|EGD:|EgdPageList:ProducedPages|EgdPage:FastEGD|EgdExchange:Exchange3|EgdVariable:X_NGGFLOOR,,,
627,REGULATOR_HMI,EGD.ProducedPages.FastEGD.Exchange3.Point_40,03.0072.0,ReadOnly,DINT,,nd,1701122220,10,Exchange3,172.16.111.255,Regulator Selection Status,,,System:PTT_1609256_59|Device:T1|EGD:|EgdPageList:ProducedPages|EgdPage:FastEGD|EgdExchange:Exchange3|EgdVariable:REGULATOR_HMI,N_D,,
646,RPM_MW_VAL,EGD.ProducedPages.FastEGD.Exchange3.Point_29,03.0028.0,ReadOnly,REAL,,,1701122220,10,Exchange3,172.16.111.255,NPT speed / MW droop coefficient (rpm/Mw),,,System:PTT_1609256_59|Device:T1|EGD:|EgdPageList:ProducedPages|EgdPage:FastEGD|EgdExchange:Exchange3|EgdVariable:RPM_MW_VAL,,,
647,T2A,EGD.ProducedPages.FastEGD.Exchange3.Point_28,03.0024.0,ReadOnly,REAL,,?,1701122220,10,Exchange3,172.16.111.255,T2A Validated Input,,,System:PTT_1609256_59|Device:T1|EGD:|EgdPageList:ProducedPages|EgdPage:FastEGD|EgdExchange:Exchange3|EgdVariable:T2A,TC,,
